representation,regime,seed,delta_azimuth,delta_elevation,sun_elevation,transform_kind,fit_model,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,inlier_ratio,fit_rmse,coverage_max_gap,coverage_occupancy,coverage_entropy,true_inlier_precision,transform_error_median,transform_error_p90,is_wrong,flag_n_inliers_le_8,detect_describe_s,match_s,ransac_s,pipeline_s
B1_rootsift,A_highlands_moderate,3003,21.0,0.0,45.0,affine,affine,1.0,1525,1355,153,149,0.9738562091503268,0.9451285437154152,0.14438454453780325,0.734375,0.8914783285631092,0.9932885906040269,0.16821171332201545,0.3900585271924702,False,False,0.08383090002462268,0.024194899946451187,0.0482837000163272,0.15630949998740107
B1_sift,A_highlands_moderate,3003,21.0,0.0,45.0,affine,affine,1.0,1525,1355,137,126,0.9197080291970803,0.9525684387189816,0.1522157136464655,0.75,0.8917372632529866,0.9920634920634921,0.10637050824833481,0.18917374423869004,False,False,0.07744000002276152,0.027129099937155843,0.05964610003866255,0.16421519999857992
A_orient_mod_pi,A_highlands_moderate,3003,21.0,0.0,45.0,affine,affine,1.0,1525,1355,56,56,1.0,0.8915589961541355,0.2572792781261737,0.484375,0.7978942266561371,1.0,0.13535878789853426,0.20095493681333101,False,False,0.46328240004368126,0.02578719996381551,0.061322699999436736,0.5503923000069335
A_orient_2pi_control,A_highlands_moderate,3003,21.0,0.0,45.0,affine,affine,1.0,1525,1355,368,363,0.9864130434782609,0.9869634931134454,0.09203435962016819,0.953125,0.9601397433513337,0.9972451790633609,0.1988444362086894,0.4387645164811852,False,False,0.5928770999889821,0.0291326999431476,0.09929060004651546,0.7213003999786451
B_phase_congruency,A_highlands_moderate,3003,21.0,0.0,45.0,affine,affine,1.0,1569,1248,47,43,0.9148936170212766,1.2089532823745428,0.25410315548704276,0.34375,0.7062401898194823,1.0,0.2031460053975643,0.2684426581004987,False,False,1.5410778999794275,0.02740819996688515,0.0672489000717178,1.6357350000180304
C_rift2_mim,A_highlands_moderate,3003,21.0,0.0,45.0,affine,affine,1.0,1569,1248,23,16,0.6956521739130435,1.3544068427549614,0.3411011023473385,0.171875,0.5546365885191304,1.0,0.4210629045643577,0.6965500434935414,False,False,0.2207947000861168,0.04540519998408854,0.06654709996655583,0.33274700003676116
B1_rootsift,A_highlands_moderate,3003,24.0,0.0,45.0,affine,affine,1.0,1525,1787,524,522,0.9961832061068703,0.9175578516770184,0.06230982351044479,1.0,0.981385223635501,0.9980842911877394,0.4851912595935469,0.6243746918545039,False,False,0.09993949998170137,0.03663129999767989,0.05952770006842911,0.19609850004781038
B1_sift,A_highlands_moderate,3003,24.0,0.0,45.0,affine,affine,1.0,1525,1787,474,468,0.9873417721518988,0.938152413401883,0.07920263711325808,1.0,0.9808223417966019,0.9978632478632479,0.38126041096045615,0.7478573094848573,False,False,0.091935999924317,0.03749620006419718,0.054835099959746,0.1842672999482602
A_orient_mod_pi,A_highlands_moderate,3003,24.0,0.0,45.0,affine,affine,1.0,1525,1787,82,82,1.0,0.6824096743332791,0.1875180836186947,0.671875,0.8570539103393057,1.0,0.08572861243033504,0.15146298190959767,False,False,0.584291199920699,0.03153310006018728,0.055400699959136546,0.6712249999400228
A_orient_2pi_control,A_highlands_moderate,3003,24.0,0.0,45.0,affine,affine,1.0,1525,1787,586,586,1.0,0.8030477942609763,0.06919442841451262,1.0,0.9876038708549691,1.0,0.028878671809595143,0.047899098384853955,False,False,0.5867884000763297,0.03577820002101362,0.0656031999969855,0.6881698000943288
