arm,arm_wall_s,coverage_max_uncovered_disc_ratio,coverage_occupancy,decimation,delta_incidence_deg,edge,exploratory,fit_rmse_is_not_accuracy,fit_rmse_px,gsd_m,inlier_ratio,label,n_inliers,n_inliers_failure_flag,n_keypoints_dst,n_keypoints_src,n_putative,pass,recorded_n_inliers,reproduces_recorded,shape,target,tier,wall_s
photometric_hapke,11.202614400011953,0.46042617626927473,0.0625,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,1.1053335547230574,1.845,0.14,A -> B,7,True,11633,10794,50,False,,,"[2048, 1024]",REAL-DATA-04,tier1,3.7095297000487335
dem_render_b1,9.098215099947993,,,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,1.845,,A -> B,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
dem_render_lg,53.4777793000103,,,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,1.845,,A -> B,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
learned_lg,37.47871320002014,0.49771511622017517,0.046875,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,6.563712636189231e-14,1.845,1.0,A -> B,3,True,4096,4096,3,False,,,"[2048, 1024]",REAL-DATA-04,tier1,30.237714900053106
photometric_ls_pixel,11.762567900004797,0.3727105506985961,0.046875,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,True,True,1.6077746776921858e-13,1.845,0.125,A -> B,5,True,10487,10740,40,False,,,"[2048, 1024]",REAL-DATA-04,tier1,3.9889338999637403
none,13.345065000001341,0.42682484813887006,0.046875,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,True,1.8852829216231156e-13,1.985,0.10344827586206896,B -> D,3,True,12593,11633,29,False,3,True,"[2048, 1024]",REAL-DATA-04,tier1,5.935554899973795
photometric_ls,13.832506900012959,0.42682484813887006,0.046875,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,True,1.8852829216231156e-13,1.985,0.10344827586206896,B -> D,3,True,12593,11633,29,False,,,"[2048, 1024]",REAL-DATA-04,tier1,6.199418299947865
photometric_hapke,13.520078199973796,0.42682484813887006,0.046875,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,True,1.8852829216231156e-13,1.985,0.10344827586206896,B -> D,3,True,12593,11633,29,False,,,"[2048, 1024]",REAL-DATA-04,tier1,5.9183359000016935
dem_render_b1,2.7565493999863975,,,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,,,1.985,,B -> D,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
dem_render_lg,53.61055859999033,,,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,,,1.985,,B -> D,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
learned_lg,40.53471849998459,0.7279206738273436,0.03125,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,True,6.033619429252006e-13,1.985,1.0,B -> D,3,True,4096,4096,3,False,,,"[2048, 1024]",REAL-DATA-04,tier1,33.27833160001319
photometric_ls_pixel,11.620553600019775,0.4195651646266216,0.03125,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,True,True,6.431098710768743e-13,1.985,0.13793103448275862,B -> D,4,True,12669,10487,29,False,,,"[2048, 1024]",REAL-DATA-04,tier1,3.9794461999554187
none,10.194770900008734,0.10334689225690416,1.0,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,True,0.8779232510137617,2.0,0.9414440022740194,D -> A,1656,False,10794,12593,1759,True,1656,True,"[2048, 1024]",REAL-DATA-04,tier1,2.8679373000049964
photometric_ls,10.555078400007915,0.10334689225690416,1.0,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,True,0.8779232510137617,2.0,0.9414440022740194,D -> A,1656,False,10794,12593,1759,True,,,"[2048, 1024]",REAL-DATA-04,tier1,2.8922130999853835
photometric_hapke,10.544081500032917,0.10334689225690416,1.0,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,True,0.8779232510137617,2.0,0.9414440022740194,D -> A,1656,False,10794,12593,1759,True,,,"[2048, 1024]",REAL-DATA-04,tier1,2.895002699980978
dem_render_b1,1.2874305000295863,,,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,,,2.0,,D -> A,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
dem_render_lg,52.87473839998711,,,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,,,2.0,,D -> A,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
learned_lg,34.39348080003401,0.14254936032614993,0.84375,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,True,0.9884778548893942,2.0,0.9687650168188371,D -> A,2016,False,4096,4096,2081,True,,,"[2048, 1024]",REAL-DATA-04,tier1,27.022534299991094
photometric_ls_pixel,10.76337430003332,0.09728934982993787,1.0,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,True,True,1.0909924743705628,2.0,0.9315175097276265,D -> A,1197,False,10740,12669,1285,True,,,"[2048, 1024]",REAL-DATA-04,tier1,2.9098860999802127
learned_lg_repeat,0.0,,,2,,nac.m1271742202lc -> nac.m1335207975rc,True,,,,,determinism,"[3, 3]",,,,,True,,,,REAL-DATA-04,tier1,
