coverage_max_uncovered_disc_ratio,coverage_occupancy,delta_incidence_deg,dst_incidence_deg,edge,engine,fit_rmse_is_not_accuracy,fit_rmse_px,inlier_ratio,n_inliers,n_inliers_failure_flag,n_keypoints_dst,n_keypoints_src,n_putative,pass,recorded_n_inliers,reproduces_recorded,same_orbit_pair,src_incidence_deg,success,wall_s,window,wrong_pass
0.5470523219774841,0.046875,22.439999999999998,66.88,nac.m1236465772rc -> nac.m1199981485rc,lg,True,3.2029639867188973e-13,0.6,3,True,4096,4096,5,False,,,False,44.44,False,68.70809450000525,RD03,False
0.182348042807759,0.6875,6.920000000000002,52.4,nac.m1212932972lc -> nac.m1363396554rc,b1,True,0.6638992622601747,0.9844676645015532,3486,False,10363,10310,3541,True,,,False,45.48,True,19.550394799967762,RD03,False
0.2089501468757429,0.5625,6.920000000000002,52.4,nac.m1212932972lc -> nac.m1363396554rc,lg,True,1.1674991498692266,0.9890764647467726,1992,False,4096,4096,2014,True,,,False,45.48,True,68.05010620004032,RD03,False
0.6360104980561998,0.046875,21.4,66.88,nac.m1212932972lc -> nac.m1199981485rc,b1,True,7.190186943645084e-13,0.07692307692307693,5,True,11869,10310,65,False,,,False,45.48,False,41.59758890001103,RD03,False
,,21.4,66.88,nac.m1212932972lc -> nac.m1199981485rc,lg,True,nan,0.0,0,True,4096,4096,2,False,,,False,45.48,False,60.87628470000345,RD03,False
0.18724755140672067,0.59375,23.32,68.8,nac.m1212932972lc -> nac.m1452560468lc,b1,True,1.0869668232242586,0.7371134020618557,143,False,11433,10310,194,True,,,False,45.48,True,19.12283980002394,RD03,False
0.1505154970624521,0.625,23.32,68.8,nac.m1212932972lc -> nac.m1452560468lc,lg,True,1.1844021356223542,0.797212543554007,1144,False,4096,4096,1435,True,,,False,45.48,True,69.42899510002462,RD03,False
0.14225200824627277,0.796875,24.28000000000001,69.76,nac.m1212932972lc -> nac.m1335207975rc,b1,True,1.018517991570187,0.7539267015706806,144,False,12471,10310,191,True,,,False,45.48,True,20.07521410001209,RD03,False
0.16553584164211707,0.75,24.28000000000001,69.76,nac.m1212932972lc -> nac.m1335207975rc,lg,True,1.163973013283116,0.8158620689655173,1183,False,4096,4096,1450,True,,,False,45.48,True,67.0321998000145,RD03,False
0.44119554740201455,0.046875,26.81000000000001,72.29,nac.m1212932972lc -> nac.m1096350825rc,b1,True,0.5628896964396288,0.09615384615384616,5,True,12825,10310,52,False,,,False,45.48,False,45.003638299996965,RD03,False
,,26.81000000000001,72.29,nac.m1212932972lc -> nac.m1096350825rc,lg,True,nan,0.0,0,True,4096,4096,2,False,,,False,45.48,False,119.71031799999764,RD03,False
