coverage_max_uncovered_disc_ratio,coverage_occupancy,delta_incidence_deg,dst_incidence_deg,edge,edge_run,engine,fit_rmse_is_not_accuracy,fit_rmse_px,inlier_ratio,n_inliers,n_inliers_failure_flag,n_keypoints_dst,n_keypoints_src,n_putative,pair,pass,recorded_direction,recorded_n_inliers,reproduces_recorded,same_orbit_pair,src_incidence_deg,success,wall_s,window,wrong_pass
,,21.3,42.43,nac.m1315225542lc -> nac.m1341069775rc,,lg,True,nan,0.0,0,True,4096,4096,2,"['nac.m1315225542lc', 'nac.m1341069775rc']",False,,,,False,21.13,False,31.18219979997957,RD04,False
0.702421794624481,0.0625,24.349999999999998,45.48,nac.m1315225542lc -> nac.m1212932972lc,,b1,True,0.7163904956062884,0.078125,5,True,12046,9553,64,"['nac.m1212932972lc', 'nac.m1315225542lc']",False,,,,False,21.13,False,14.418239400023594,RD04,False
,,24.349999999999998,45.48,nac.m1315225542lc -> nac.m1212932972lc,,lg,True,nan,0.0,0,True,4096,4096,0,"['nac.m1212932972lc', 'nac.m1315225542lc']",False,,,,False,21.13,False,32.893058000016026,RD04,False
0.42951567942517566,0.046875,48.63000000000001,69.76,nac.m1315225542lc -> nac.m1335207975rc,,b1,True,6.9661990547053444e-12,0.08333333333333333,3,True,11606,9553,36,"['nac.m1315225542lc', 'nac.m1335207975rc']",False,,,,False,21.13,False,14.344619099982083,RD04,False
,,48.63000000000001,69.76,nac.m1315225542lc -> nac.m1335207975rc,,lg,True,nan,0.0,0,True,4096,4096,2,"['nac.m1315225542lc', 'nac.m1335207975rc']",False,,,,False,21.13,False,31.356755600019824,RD04,False
0.2771528419752202,0.453125,12.48,42.43,nac.m1271742202lc -> nac.m1341069775rc,,b1,True,1.2697934627162455,0.34558823529411764,47,False,13585,10725,136,"['nac.m1271742202lc', 'nac.m1341069775rc']",True,,,,False,29.95,True,10.22150009998586,RD04,False
0.17325110514675024,0.828125,12.48,42.43,nac.m1271742202lc -> nac.m1341069775rc,,lg,True,1.6389718183922082,0.6483870967741936,1206,False,4096,4096,1860,"['nac.m1271742202lc', 'nac.m1341069775rc']",True,,,,False,29.95,True,38.184981899976265,RD04,False
0.04900164480757412,1.0,15.529999999999998,45.48,nac.m1271742202lc -> nac.m1212932972lc,,b1,True,1.0058298452984487,0.9485875706214689,1679,False,12046,10725,1770,"['nac.m1212932972lc', 'nac.m1271742202lc']",True,,,,False,29.95,True,10.315271599974949,RD04,False
0.12073093328535618,0.90625,15.529999999999998,45.48,nac.m1271742202lc -> nac.m1212932972lc,,lg,True,1.0743541792939202,0.9825046040515654,2134,False,4096,4096,2172,"['nac.m1212932972lc', 'nac.m1271742202lc']",True,,,,False,29.95,True,33.108696900017094,RD04,False
0.46042617626927473,0.0625,39.81,69.76,nac.m1271742202lc -> nac.m1335207975rc,nac.m1271742202lc -> nac.m1335207975rc,b1,True,1.1053335547230574,0.14,7,True,11633,10794,50,"['nac.m1271742202lc', 'nac.m1335207975rc']",False,True,7,True,False,29.95,False,11.137748699984513,RD04,False
