coverage_max_uncovered_disc_ratio,coverage_occupancy,delta_incidence_deg,dst_incidence_deg,edge,edge_run,engine,fit_rmse_is_not_accuracy,fit_rmse_px,inlier_ratio,n_inliers,n_inliers_failure_flag,n_keypoints_dst,n_keypoints_src,n_putative,pair,pass,recorded_direction,recorded_n_inliers,reproduces_recorded,same_orbit_pair,src_incidence_deg,success,wall_s,window,wrong_pass
0.44060894010238205,0.046875,38.849999999999994,68.8,nac.m1271742202lc -> nac.m1452560468lc,nac.m1452560468lc -> nac.m1271742202lc,b1,True,0.8850864772888422,0.08163265306122448,4,True,9538,11477,49,"['nac.m1271742202lc', 'nac.m1452560468lc']",False,True,4,True,False,29.95,False,15.038581000000704,RD03,False
0.4767323675870726,0.046875,39.81,69.76,nac.m1271742202lc -> nac.m1335207975rc,nac.m1271742202lc -> nac.m1335207975rc,b1,True,4.1382633578908315e-13,0.125,4,True,12420,9538,32,"['nac.m1271742202lc', 'nac.m1335207975rc']",False,True,4,True,False,29.95,False,11.46861219999846,RD03,False
0.10758155745250321,0.875,0.960000000000008,69.76,nac.m1452560468lc -> nac.m1335207975rc,nac.m1335207975rc -> nac.m1452560468lc,b1,True,0.5829079860626339,0.9949925816023739,5365,False,11477,12420,5392,"['nac.m1335207975rc', 'nac.m1452560468lc']",True,True,5365,True,False,68.8,True,11.017698299954645,RD03,False
