label,regime,seed,transform_kind,fit_model,scale,delta_azimuth,delta_elevation,sun_elevation,ambiguity,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,inlier_ratio,fit_rmse,held_out_median,held_out_p90,held_out_ok,split_consistency,coverage_max_gap,coverage_occupancy,coverage_entropy,true_inlier_precision,true_putative_precision,transform_error_median,transform_error_p90,is_wrong,gen_s,pipeline_s,ransac_s,split
affine/d_az=60,A_mare_moderate,1001,affine,affine,1.0,60.0,0.0,45.0,0.0,1.0,20,17,2,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.21163420006632805,0.05627719999756664,3.8199941627681255e-05,calibration
projective/d_az=60,A_mare_moderate,1001,projective,projective,1.0,60.0,0.0,45.0,0.0,1.0,20,17,2,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.19767859997227788,0.05690530000720173,3.600004129111767e-05,calibration
similarity/d_az=0,A_mare_moderate,1002,similarity,similarity,1.0,0.0,0.0,45.0,0.0,1.0,22,19,16,16,1.0,0.41598927409792463,0.33839049953233524,0.7145960211392428,True,0.5198038098073081,0.37526213349711374,0.15625,0.5338032551857972,1.0,1.0,0.18994430595547238,0.2953142740654957,False,1.112167099956423,0.09914519998710603,0.037353400024585426,calibration
affine/d_az=0,A_mare_moderate,1002,affine,affine,1.0,0.0,0.0,45.0,0.0,1.0,22,14,13,13,1.0,0.3148837725387102,0.17470861902244522,0.4248511670384713,True,1.322276972947619,0.37526213349711374,0.140625,0.5141758504594128,1.0,1.0,0.3244185111007958,0.7325523705317196,False,0.2244160999543965,0.10072350013069808,0.04061669996008277,calibration
projective/d_az=0,A_mare_moderate,1002,projective,projective,1.0,0.0,0.0,45.0,0.0,1.0,22,18,15,7,0.4666666666666667,8.987733679556355e-14,inf,inf,False,inf,0.52719101440408,0.0625,0.3250353441524579,1.0,1.0,28.21697528295394,74.62461073204591,True,0.22621290001552552,0.11050549999345094,0.05498489993624389,calibration
similarity/d_az=20,A_mare_moderate,1002,similarity,similarity,1.0,20.0,0.0,45.0,0.0,1.0,22,29,7,7,1.0,1.2884354540153578,1.608595490398294,2.2000296238417074,True,2.308142774000304,0.3917778127978848,0.078125,0.37265439177150544,1.0,1.0,2.0276631300101347,2.8517839511677963,False,0.22299289994407445,0.11128139996435493,0.04225399997085333,calibration
affine/d_az=20,A_mare_moderate,1002,affine,affine,1.0,20.0,0.0,45.0,0.0,1.0,22,20,1,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,1.0,inf,inf,True,0.2292050999822095,0.059798400034196675,3.530003596097231e-05,calibration
projective/d_az=20,A_mare_moderate,1002,projective,projective,1.0,20.0,0.0,45.0,0.0,1.0,22,29,7,6,0.8571428571428571,1.106337229152991,inf,inf,False,inf,0.41564409025706717,0.0625,0.3197159723424149,1.0,1.0,98.8080732779162,477.6277967094089,True,0.22390540002379566,0.09331570006906986,0.03817600000184029,calibration
similarity/d_az=40,A_mare_moderate,1002,similarity,similarity,1.0,40.0,0.0,45.0,0.0,1.0,22,23,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.21984590007923543,0.05419690010603517,3.550003748387098e-05,calibration
affine/d_az=40,A_mare_moderate,1002,affine,affine,1.0,40.0,0.0,45.0,0.0,1.0,22,20,1,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.2219903999939561,0.06691159994807094,3.5400036722421646e-05,calibration
projective/d_az=40,A_mare_moderate,1002,projective,projective,1.0,40.0,0.0,45.0,0.0,1.0,22,21,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.22311159991659224,0.05595529999118298,3.560003824532032e-05,calibration
similarity/d_az=60,A_mare_moderate,1002,similarity,similarity,1.0,60.0,0.0,45.0,0.0,1.0,22,26,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.22031349991448224,0.05726100015453994,3.850006032735109e-05,calibration
affine/d_az=60,A_mare_moderate,1002,affine,affine,1.0,60.0,0.0,45.0,0.0,1.0,22,27,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.22223610000219196,0.06276150001212955,3.809994086623192e-05,calibration
projective/d_az=60,A_mare_moderate,1002,projective,projective,1.0,60.0,0.0,45.0,0.0,1.0,22,25,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.22634920000564307,0.055090999929234385,4.239997360855341e-05,calibration
similarity/d_az=0,A_mare_moderate,1003,similarity,similarity,1.0,0.0,0.0,45.0,0.0,1.0,21,19,13,13,1.0,0.5591045908811647,0.6296567593513909,0.9113359006568048,True,0.5042280648265838,0.3619135881843897,0.125,0.46289379917736156,1.0,1.0,0.18272970365368751,0.2476011070061842,False,1.0783967999741435,0.09475899988319725,0.03707379999104887,calibration
affine/d_az=0,A_mare_moderate,1003,affine,affine,1.0,0.0,0.0,45.0,0.0,1.0,21,19,13,13,1.0,0.4810241713209474,0.5690586140367245,0.7799470631039751,True,1.8317327029601245,0.3619135881843897,0.140625,0.5044978055598812,1.0,1.0,0.21706743497756925,0.43914836316295947,False,0.2029554001055658,0.10260640014894307,0.04560080007649958,calibration
projective/d_az=0,A_mare_moderate,1003,projective,projective,1.0,0.0,0.0,45.0,0.0,1.0,21,18,14,7,0.5,2.0816424984281102e-13,inf,inf,False,inf,0.610136854596414,0.046875,0.2297972489143626,1.0,1.0,160.8767383393254,281.03708685896396,True,0.1989893999416381,0.09872099990025163,0.04171589994803071,calibration
similarity/d_az=20,A_mare_moderate,1003,similarity,similarity,1.0,20.0,0.0,45.0,0.0,1.0,21,24,17,17,1.0,0.9208511633916348,0.978008186496604,1.5342973065601897,True,0.3651098934125124,0.28002360895321055,0.14035087719298245,0.4752193792969177,1.0,1.0,0.3045246643969583,0.506566501162338,False,0.20966699998825788,0.09565499995369464,0.03998670005239546,calibration
affine/d_az=20,A_mare_moderate,1003,affine,affine,1.0,20.0,0.0,45.0,0.0,1.0,21,25,15,15,1.0,1.092705372740146,1.0045960883992013,1.752296674555455,True,1.572336941602484,0.2585873247355502,0.15789473684210525,0.5097914164426419,0.9333333333333333,0.9333333333333333,0.3909976466361098,0.5735641295077853,False,0.2154839999275282,0.10261890001129359,0.04524510004557669,calibration
projective/d_az=20,A_mare_moderate,1003,projective,projective,1.0,20.0,0.0,45.0,0.0,1.0,21,23,16,8,0.5,0.6857187675307053,inf,inf,False,inf,0.5668505800280397,0.07017543859649122,0.32670581094480833,1.0,0.9375,367.94962348890954,630.5053249334993,True,0.21397329994942993,0.10060090001206845,0.04332330008037388,calibration
