kind,seed,cycle_error,loop_error,true_transform_error,is_wrong,part,split
symmetric_wrong,7175,0.0,62.74509803921568,64.0,True,B,validation
correct,7204,0.5545170958286202,0.5835544029713314,0.4569836680990799,False,B,validation
lattice_all_edges,7204,0.0,190.07904237102366,64.0,True,B,validation
lattice_one_edge,7204,0.0,62.74509803921568,64.0,True,B,validation
symmetric_wrong,7204,0.0,62.74509803921568,64.0,True,B,validation
correct,7233,0.18347119379768725,0.8693654567524023,0.35894599889977336,False,B,validation
lattice_all_edges,7233,0.0,190.07904237102366,64.0,True,B,validation
lattice_one_edge,7233,0.0,62.74509803921568,64.0,True,B,validation
symmetric_wrong,7233,0.0,62.74509803921568,64.0,True,B,validation
correct,7262,0.25485934769800567,0.6229302039174425,0.2867443577657265,False,B,validation
lattice_all_edges,7262,0.0,190.07904237102366,64.0,True,B,validation
lattice_one_edge,7262,0.0,62.74509803921568,64.0,True,B,validation
symmetric_wrong,7262,0.0,62.74509803921568,64.0,True,B,validation
correct,7291,0.471653373526002,0.35785882635565625,0.5798220285423282,False,B,validation
lattice_all_edges,7291,0.0,190.07904237102366,64.0,True,B,validation
lattice_one_edge,7291,0.0,62.74509803921568,64.0,True,B,validation
symmetric_wrong,7291,0.0,62.74509803921568,64.0,True,B,validation
correct,7320,0.4371809011168504,0.5764388325617755,0.38521948730862726,False,B,validation
lattice_all_edges,7320,0.0,190.07904237102366,64.0,True,B,validation
lattice_one_edge,7320,0.0,62.74509803921568,64.0,True,B,validation
symmetric_wrong,7320,0.0,62.74509803921568,64.0,True,B,validation
