arm,arm_wall_s,coverage_max_uncovered_disc_ratio,coverage_occupancy,decimation,delta_incidence_deg,edge,exploratory,fit_rmse_is_not_accuracy,fit_rmse_px,gsd_m,inlier_ratio,label,n_inliers,n_inliers_failure_flag,n_keypoints_dst,n_keypoints_src,n_putative,pass,recorded_n_inliers,reproduces_recorded,shape,target,tier,wall_s
photometric_hapke,18.334039599983953,0.46042617626927473,0.0625,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,1.1053335547230574,1.845,0.14,A -> B,7,True,11633,10794,50,False,,,"[2048, 1024]",REAL-DATA-04,tier1,6.056714299949817
dem_render_b1,13.081821899977513,,,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,1.845,,A -> B,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
dem_render_lg,77.72751250001602,,,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,1.845,,A -> B,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
learned_lg,58.19922640000004,0.49771511622017517,0.046875,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,6.563712636189231e-14,1.845,1.0,A -> B,3,True,4096,4096,3,False,,,"[2048, 1024]",REAL-DATA-04,tier1,45.43836540001212
photometric_ls_pixel,19.6824894999736,0.3727105506985961,0.046875,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,True,True,1.6077746776921858e-13,1.845,0.125,A -> B,5,True,10487,10740,40,False,,,"[2048, 1024]",REAL-DATA-04,tier1,6.570487500051968
none,23.23756050004158,0.42682484813887006,0.046875,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,True,1.8852829216231156e-13,1.985,0.10344827586206896,B -> D,3,True,12593,11633,29,False,3,True,"[2048, 1024]",REAL-DATA-04,tier1,10.400661500054412
photometric_ls,22.599981800012756,0.42682484813887006,0.046875,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,True,1.8852829216231156e-13,1.985,0.10344827586206896,B -> D,3,True,12593,11633,29,False,,,"[2048, 1024]",REAL-DATA-04,tier1,10.260016100015491
photometric_hapke,28.32151049998356,0.42682484813887006,0.046875,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,True,1.8852829216231156e-13,1.985,0.10344827586206896,B -> D,3,True,12593,11633,29,False,,,"[2048, 1024]",REAL-DATA-04,tier1,13.816328699991573
dem_render_b1,4.315875899977982,,,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,,,1.985,,B -> D,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
dem_render_lg,86.50327099999413,,,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,,,1.985,,B -> D,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
learned_lg,77.22149539995007,0.7279206738273436,0.03125,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,True,6.033619429252006e-13,1.985,1.0,B -> D,3,True,4096,4096,3,False,,,"[2048, 1024]",REAL-DATA-04,tier1,61.23338079999667
photometric_ls_pixel,29.42986579996068,0.4195651646266216,0.03125,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,True,True,6.431098710768743e-13,1.985,0.13793103448275862,B -> D,4,True,12669,10487,29,False,,,"[2048, 1024]",REAL-DATA-04,tier1,9.827411799982656
none,22.853217600029893,0.10334689225690416,1.0,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,True,0.8779232510137617,2.0,0.9414440022740194,D -> A,1656,False,10794,12593,1759,True,1656,True,"[2048, 1024]",REAL-DATA-04,tier1,5.203199600044172
photometric_ls,25.81769410002744,0.10334689225690416,1.0,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,True,0.8779232510137617,2.0,0.9414440022740194,D -> A,1656,False,10794,12593,1759,True,,,"[2048, 1024]",REAL-DATA-04,tier1,6.207453899958637
